,platformId,gameId,champion,queue,season,timestamp,role,lane,status.status_code,status.message,matches,startIndex,endIndex,totalGames
10022,NA1,-2147483648,75.0,420.0,13.0,1572042048706.0,SOLO,TOP,,,,,,
10023,NA1,-2147483648,75.0,420.0,13.0,1571793581822.0,DUO_SUPPORT,NONE,,,,,,
10024,NA1,-2147483648,75.0,420.0,13.0,1571540928788.0,SOLO,TOP,,,,,,
10025,NA1,-2147483648,75.0,420.0,13.0,1571273524395.0,DUO_SUPPORT,NONE,,,,,,
10026,NA1,-2147483648,75.0,420.0,13.0,1571259356464.0,DUO,MID,,,,,,
10027,NA1,-2147483648,75.0,420.0,13.0,1571184213390.0,SOLO,TOP,,,,,,
10028,NA1,-2147483648,75.0,420.0,13.0,1571174966413.0,DUO_SUPPORT,NONE,,,,,,
10029,NA1,-2147483648,75.0,420.0,13.0,1571173210909.0,SOLO,TOP,,,,,,
10030,NA1,-2147483648,75.0,420.0,13.0,1571096230415.0,SOLO,TOP,,,,,,
10031,NA1,-2147483648,75.0,420.0,13.0,1571093804672.0,SOLO,TOP,,,,,,
10032,NA1,-2147483648,75.0,420.0,13.0,1570632847859.0,SOLO,TOP,,,,,,
10033,NA1,-2147483648,75.0,420.0,13.0,1570597321172.0,SOLO,TOP,,,,,,
10034,NA1,-2147483648,75.0,420.0,13.0,1570591095502.0,NONE,JUNGLE,,,,,,
10035,NA1,-2147483648,75.0,420.0,13.0,1570589301679.0,SOLO,TOP,,,,,,
10036,NA1,-2147483648,75.0,420.0,13.0,1570586449631.0,SOLO,TOP,,,,,,
10037,NA1,-2147483648,75.0,420.0,13.0,1569622842356.0,SOLO,TOP,,,,,,
10038,NA1,-2147483648,75.0,420.0,13.0,1565390136621.0,DUO,NONE,,,,,,
10039,NA1,-2147483648,75.0,420.0,13.0,1565387591646.0,SOLO,TOP,,,,,,
10040,NA1,-2147483648,75.0,420.0,13.0,1565373906172.0,SOLO,TOP,,,,,,
10041,NA1,-2147483648,75.0,420.0,13.0,1558046379035.0,SOLO,TOP,,,,,,
10042,NA1,-2147483648,75.0,420.0,13.0,1557955537428.0,DUO_SUPPORT,NONE,,,,,,
10043,NA1,-2147483648,75.0,420.0,13.0,1557953900156.0,DUO_SUPPORT,NONE,,,,,,
10044,NA1,-2147483648,75.0,420.0,13.0,1557790081671.0,SOLO,MID,,,,,,
10045,NA1,-2147483648,75.0,420.0,13.0,1555275916225.0,SOLO,TOP,,,,,,
10046,NA1,-2147483648,75.0,420.0,13.0,1555274022574.0,SOLO,TOP,,,,,,
10047,NA1,-2147483648,75.0,420.0,13.0,1551913730066.0,SOLO,TOP,,,,,,
10048,NA1,-2147483648,75.0,420.0,13.0,1551847929325.0,SOLO,TOP,,,,,,
10049,NA1,-2147483648,75.0,420.0,13.0,1551832411541.0,SOLO,TOP,,,,,,
10050,NA1,-2147483648,75.0,420.0,13.0,1551567798562.0,SOLO,TOP,,,,,,
10051,NA1,-2147483648,75.0,420.0,13.0,1586970564189.0,SOLO,TOP,,,,,,
10052,NA1,-2147483648,75.0,420.0,13.0,1584211230483.0,SOLO,TOP,,,,,,
10053,NA1,-2147483648,75.0,420.0,12.0,1547761072285.0,NONE,JUNGLE,,,,,,
10054,NA1,-2147483648,75.0,420.0,13.0,1588808433898.0,SOLO,TOP,,,,,,
10055,NA1,-2147483648,75.0,420.0,13.0,1588537732595.0,SOLO,TOP,,,,,,
10056,NA1,-2147483648,75.0,420.0,13.0,1588523332248.0,SOLO,TOP,,,,,,
10057,NA1,-2147483648,75.0,420.0,13.0,1559265041418.0,SOLO,TOP,,,,,,
10058,NA1,-2147483648,75.0,420.0,13.0,1558917371315.0,DUO_SUPPORT,NONE,,,,,,
10059,NA1,-2147483648,75.0,420.0,13.0,1558915232139.0,SOLO,TOP,,,,,,
10060,NA1,-2147483648,75.0,420.0,13.0,1558887414599.0,SOLO,TOP,,,,,,
10061,NA1,-2147483648,75.0,420.0,13.0,1558845526671.0,DUO_SUPPORT,NONE,,,,,,
10062,NA1,-2147483648,75.0,420.0,13.0,1558843135315.0,SOLO,TOP,,,,,,
10063,NA1,-2147483648,75.0,420.0,13.0,1558840272688.0,SOLO,TOP,,,,,,
10064,NA1,-2147483648,75.0,420.0,13.0,1558835229909.0,SOLO,TOP,,,,,,
10065,NA1,-2147483648,75.0,420.0,13.0,1558747515915.0,SOLO,TOP,,,,,,
10066,NA1,-2147483648,75.0,420.0,13.0,1558744926301.0,SOLO,TOP,,,,,,
10067,NA1,-2147483648,75.0,420.0,13.0,1597269131090.0,SOLO,TOP,,,,,,
10068,NA1,-2147483648,75.0,420.0,13.0,1597107480957.0,SOLO,TOP,,,,,,
10069,NA1,-2147483648,75.0,420.0,13.0,1597015112339.0,SOLO,TOP,,,,,,
