,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2669,21414c35-656f-48f8-b8d4-a60b3da0b3c7,RANKED_SOLO_5x5,SILVER,II,s2PF_Tv1aWuG86IzoMH4-7em90QVjdvIR0P9fZSWYHVDob1O,laranascimento,61.0,107.0,127.0,False,False,False,False
2670,c89a14be-921a-4b5a-9158-0d6ace36227d,RANKED_SOLO_5x5,SILVER,II,x-kFFvrY-nFa8sl9XkEG2JO49hHFrbxlCpvxPCgFCItEBtfz,Qian Zer0,0.0,63.0,69.0,False,False,False,False
2671,6226fbe2-23e5-4fe2-8905-d0e33b316ed2,RANKED_SOLO_5x5,SILVER,II,UGd2q1cfmUUZAOizORq8_KqM4NJphwFpbLPyMTvwrwy3FqvN,STOPSNITCHESS,59.0,54.0,63.0,False,False,False,False
2672,98dfc7c0-9629-4f62-88ce-8ba15f65aa0a,RANKED_SOLO_5x5,SILVER,II,9o2o_PIYGvfcPTWujyewmPiCI0oilLWG0HosSAVKdkxqPZNv,FiddlesticksKing,93.0,12.0,5.0,False,False,False,False
2673,0e079a20-36cb-4c32-9dd1-d0519cf52f50,RANKED_SOLO_5x5,SILVER,II,kyzHphcu5C4kXgWWVzlW5gHQO_jhlaivkprLm6qv1KG6OJ0c,Grantybird,63.0,60.0,44.0,False,False,False,False
2674,4f126326-4b84-4b74-b82d-dbec2e0472c4,RANKED_SOLO_5x5,SILVER,II,x1Fe4-uqtAimt9q7uGocT45oQCiTzWgpcka2H7c5fVic7mB1,angry child,28.0,66.0,66.0,False,False,False,False
2675,d3b05009-e11f-487c-9e60-682069966c68,RANKED_SOLO_5x5,SILVER,II,XNwHsT_cLicP1euwAe7Mz8xDJVfr4S12XdE4zJDYj1yMCAFR,CHildrenfestival,100.0,85.0,71.0,False,False,False,False
2676,29ed86ca-c7e1-4d2f-afdc-fc3b435c22d3,RANKED_SOLO_5x5,SILVER,II,B0sQkbyUVhoyD_Uuh10fzSS88EvmfwvsILIVJSAGImy4IHHM,Comestastic3,0.0,41.0,53.0,False,False,False,False
2677,1ace580a-a0dc-41cf-a65a-9dd83fc4e85b,RANKED_SOLO_5x5,SILVER,II,urXdzvZdjIp3tzaJb554uOwHAS8fm1LTuRvHwGwt9AtAd2DJ,Wàtèr,0.0,36.0,27.0,False,False,False,False
2678,290a9491-9bbd-4d6f-98ee-48b3f8617aa7,RANKED_SOLO_5x5,SILVER,III,ArZqO6IkhLxmvnVLrpEy-zED0ulEpP58V2k44Es-QyTKGfj5,JD1417,88.0,118.0,81.0,False,False,False,False
